loudness,speechiness,acousticness,liveness,valence
-6.682,0.0283,0.0365,0.193,0.514
-6.055,0.141,0.201,0.0521,0.817
-7.627,0.0805,0.00601,0.306,0.313
-5.799,0.307,0.0149,0.355,0.518
-9.17,0.22,0.0825,0.221,0.791
-7.872,0.272,0.116,0.268,0.502
-4.481,0.192,0.0326,0.0651,0.538
-5.659,0.0391,0.000616,0.226,0.597
-6.228,0.0329,0.325,0.137,0.848
-3.103,0.0337,0.343,0.0757,0.509
-5.819,0.117,0.000172,0.189,0.534
-5.123,0.029,0.00189,0.0859,0.917
-6.197,0.362,0.0391,0.0798,0.777
-5.861,0.0365,0.00344,0.328,0.88
-4.749,0.295,0.176,0.169,0.907
-4.92,0.116,0.0111,0.0367,0.648
-6.488,0.295,0.000787,0.318,0.629
-6.66,0.0271,0.497,0.119,0.0902
-4.904,0.0287,0.0485,0.15,0.459
-3.552,0.2,0.0199,0.141,0.873
-5.913,0.13,0.453,0.0801,0.759
-3.977,0.253,0.15,0.0614,0.891
-4.164,0.137,0.0017,0.0426,0.185
-8.831,0.339,0.178,0.0553,0.935
-6.491,0.109,0.194,0.309,0.722
-3.846,0.299,0.349,0.0427,0.895
-9.74,0.317,0.0847,0.079,0.618
-5.264,0.505,0.362,0.317,0.439
-6.031,0.0346,0.00189,0.0492,0.795
-10.284,0.043,0.212,0.0728,0.51
-1.357,0.201,0.235,0.552,0.45
-7.577,0.0348,0.444,0.221,0.199
-4.936,0.132,0.299,0.0881,0.963
-12.932,0.0743,0.211,0.113,0.428
-5.873,0.0776,0.508,0.0753,0.319
-4.722,0.0302,1.92E-05,0.0517,0.511
-3.587,0.138,0.0733,0.0936,0.908
-4.855,0.349,0.367,0.0916,0.801
-3.914,0.182,0.103,0.0666,0.694
-5.611,0.0284,0.00385,0.103,0.374
-3.657,0.0457,0.107,0.0692,0.525
-6.582,0.183,0.577,0.104,0.564
-5.08,0.0278,0.254,0.11,0.376
-5.074,0.0282,0.00202,0.328,0.783
-6.849,0.0473,0.506,0.157,0.352
-5.531,0.286,0.0305,0.0884,0.887
-7.215,0.0279,0.599,0.183,0.255
-4.984,0.0594,0.00676,0.174,0.477
-5.603,0.283,0.0778,0.0732,0.584
-3.006,0.0582,0.408,0.16,0.849
-2.623,0.0803,0.046,0.203,0.846
-5.477,0.0276,0.00797,0.0997,0.516
-5.038,0.319,0.0811,0.113,0.59
-8.804,0.132,0.492,0.184,0.513
-5.265,0.107,0.271,0.158,0.446
-6.863,0.0981,0.176,0.252,0.586
-6.823,0.0401,0.327,0.081,0.294
-2.281,0.0357,0.039,0.133,0.966
-5.909,0.181,0.0893,0.0838,0.948
-6.569,0.458,0.231,0.0794,0.811
-6.359,0.137,0.0769,0.0706,0.592
-6.653,0.199,0.0566,0.406,0.433
-5.263,0.0403,0.0298,0.707,0.429
-4.932,0.0464,0.126,0.0638,0.635
-7.886,0.0523,0.233,0.118,0.58
-4.577,0.0457,0.00575,0.362,0.556
-7.608,0.0292,0.504,0.111,0.27
-3.685,0.0374,0.00043,0.0686,0.609
-5.656,0.0444,0.0479,0.177,0.317
-5.11,0.0336,0.000603,0.101,0.77
-7.462,0.0291,0.08,0.117,0.208
-8.674,0.0368,0.145,0.108,0.383
-4.699,0.112,0.0183,0.0388,0.583
-4.612,0.0378,0.0525,0.093,0.809
-3.914,0.114,0.0249,0.242,0.924
-2.261,0.0664,0.103,0.174,0.965
-4.649,0.029,0.0129,0.159,0.0681
-3.567,0.0321,0.0697,0.0929,0.325
-6.499,0.0618,0.332,0.0789,0.753
-2.208,0.126,0.117,0.292,0.797
-3.947,0.0427,0.177,0.0577,0.672
-3.344,0.415,0.11,0.0746,0.695
-4.552,0.0373,0.00908,0.279,0.47
-2.557,0.0628,0.0509,0.384,0.731
-5.576,0.0434,0.0374,0.188,0.278
-4.481,0.0275,0.000109,0.484,0.75
-3.925,0.0968,0.0154,0.1,0.385
-8.65,0.0857,0.239,0.102,0.643
-4.153,0.0381,0.0046,0.639,0.243
-4.289,0.22,0.0923,0.24,0.429
-4.475,0.101,0.023,0.107,0.354
-3.383,0.0828,0.497,0.116,0.844
-4.971,0.0847,0.0775,0.136,0.619
-5,0.0462,0.347,0.116,0.4
-5.958,0.0637,0.00727,0.0979,0.545
-6.518,0.375,0.00427,0.839,0.447
-6.306,0.0491,0.0277,0.298,0.872
-3.347,0.149,0.0369,0.326,0.962
-5.76,0.0284,0.0114,0.0745,0.465
-6.476,0.0922,2.06E-05,0.219,0.35
-6.825,0.0394,0.0884,0.117,0.88
-4.423,0.118,0.0127,0.103,0.619
-6.313,0.0432,0.0202,0.0576,0.877
-3.041,0.268,0.688,0.0841,0.535
-3.716,0.254,0.0756,0.359,0.662
-7.147,0.318,0.0319,0.339,0.645
-4.419,0.0308,0.0838,0.0556,0.973
-3.66,0.0497,0.000516,0.161,0.177
-5.409,0.0349,0.00331,0.26,0.846
-6.345,0.232,0.104,0.584,0.933
-6.022,0.128,0.0509,0.094,0.322
-5.096,0.0395,0.0371,0.0519,0.886
-6.068,0.0439,0.00986,0.206,0.759
-5.218,0.0303,0.108,0.0909,0.581
-8.691,0.253,0.156,0.0763,0.464
-4.207,0.104,0.0108,0.0753,0.612
-6.696,0.0711,0.291,0.0974,0.695
-3.56,0.0467,0.0581,0.281,0.962
-4.904,0.0287,0.0485,0.15,0.459
-3.832,0.216,0.169,0.102,0.676
-5.384,0.172,0.102,0.116,0.756
-4.612,0.0536,0.00083,0.068,0.659
-2.221,0.237,0.28,0.188,0.547
-3.092,0.162,0.0649,0.592,0.313
-6.879,0.0361,0.0405,0.0351,0.875
-5.926,0.183,0.0918,0.217,0.962
-2.983,0.257,0.0298,0.141,0.587
-6.722,0.125,0.0436,0.287,0.802
-5.087,0.0704,0.00277,0.329,0.418
-5.435,0.179,0.182,0.281,0.777
-4.831,0.0786,0.00402,0.256,0.8
-12.852,0.0337,0.966,0.116,0.114
-3.974,0.0613,0.000138,0.147,0.632
-8.821,0.0377,0.000409,0.136,0.527
-5.827,0.315,0.0653,0.044,0.654
-3.651,0.132,0.106,0.0675,0.889
-9.867,0.0946,0.0248,0.131,0.792
-4.686,0.323,0.614,0.317,0.715
-9.206,0.0356,0.863,0.134,0.101
-4.237,0.0423,0.0498,0.0982,0.642
-5.348,0.0453,0.0128,0.338,0.639
-5.074,0.0282,0.00202,0.328,0.783
-2.92,0.0386,0.00462,0.358,0.484
-5.659,0.171,0.314,0.284,0.611
-2.042,0.0639,2.64E-05,0.368,0.769
-6.636,0.108,0.0217,0.0374,0.75
-6.466,0.0391,0.237,0.104,0.788
-9.711,0.0317,0.555,0.125,0.279
-6.11,0.247,0.00865,0.158,0.66
-5.077,0.0803,0.13,0.28,0.501
-6.102,0.409,0.101,0.233,0.702
-2.407,0.0758,0.00136,0.369,0.74
-6.823,0.0401,0.327,0.081,0.294
-6.245,0.0653,0.214,0.0404,0.575
-9.092,0.0803,0.226,0.137,0.536
-6.817,0.0252,0.0492,0.205,0.233
-4.832,0.484,0.149,0.139,0.434
-5.337,0.294,0.261,0.348,0.819
-13.2,0.0312,0.856,0.0979,0.106
-8.238,0.118,0.257,0.0465,0.676
-9.481,0.0818,0.377,0.0813,0.448
-5.395,0.038,0.00232,0.141,0.667
-1.729,0.299,0.23,0.0305,0.895
-4.894,0.325,0.548,0.0687,0.89
-4.932,0.0464,0.126,0.0638,0.635
-4.21,0.0621,0.00127,0.0753,0.697
-4.583,0.108,0.0923,0.215,0.605
-3.489,0.359,0.0193,0.104,0.398
-17.217,0.0374,0.976,0.103,0.304
-4.286,0.0773,0.0572,0.11,0.772
-8.674,0.0368,0.145,0.108,0.383
-8.264,0.187,0.59,0.342,0.249
-7.918,0.0629,0.0264,0.0865,0.767
-8.97,0.0922,0.235,0.118,0.556
-5.572,0.348,0.0195,0.0554,0.623
-8.415,0.159,0.000155,0.101,0.498
-7.961,0.466,0.0253,0.38,0.755
-9.87,0.0278,0.633,0.088,0.454
-3.68,0.0309,0.00394,0.0383,0.506
-3.475,0.099,0.00542,0.127,0.549
-4.013,0.0309,0.448,0.151,0.52
-5.897,0.132,0.0345,0.755,0.666
-7.695,0.0452,0.0039,0.0686,0.405
-6.672,0.41,0.0322,0.315,0.527
-3.321,0.0407,0.279,0.0648,0.786
-6.152,0.366,0.409,0.107,0.676
-4.195,0.151,0.145,0.0748,0.86
-2.728,0.0416,0.0294,0.206,0.722
-3.681,0.0751,0.0141,0.363,0.365
-4.162,0.0911,0.0583,0.0795,0.88
-4.763,0.231,0.206,0.279,0.71
-7.401,0.251,0.0455,0.0332,0.637
-6.721,0.129,0.0246,0.393,0.212
-4.875,0.0514,0.0901,0.0315,0.836
-5.924,0.222,0.111,0.109,0.586
-7.135,0.0506,0.000298,0.0697,0.357
-5.996,0.246,0.0277,0.0839,0.557
-5.461,0.105,0.0508,0.097,0.749
-5.096,0.12,0.0218,0.628,0.362
-4.254,0.166,0.0603,0.582,0.751
-4.781,0.207,0.14,0.123,0.435
-6.679,0.177,0.00836,0.613,0.772
-2.76,0.061,0.00937,0.547,0.604
-7.88,0.0352,0.331,0.238,0.619
-3.638,0.0431,0.0248,0.084,0.777
-5.096,0.061,0.0485,0.076,0.814
-7.728,0.0459,0.000839,0.157,0.08
-3.798,0.266,0.209,0.156,0.254
-5.367,0.0427,0.0297,0.123,0.812
-5.852,0.0372,0.0229,0.298,0.966
-5.308,0.127,0.0319,0.325,0.666
-4.458,0.0429,0.0381,0.0633,0.828
-8.013,0.126,0.000213,0.243,0.586
-6.626,0.372,0.00341,0.111,0.659
-7.994,0.428,0.0351,0.0932,0.622
-7.105,0.121,0.0311,0.0471,0.81
-3.152,0.109,0.033,0.0899,0.858
-7.324,0.0336,0.409,0.106,0.316
-4.896,0.103,0.179,0.401,0.626
-4.834,0.0331,0.231,0.0768,0.165
-5.952,0.045,0.000204,0.105,0.189
-3.768,0.27,0.258,0.164,0.379
-3.832,0.216,0.169,0.102,0.676
-7.558,0.372,0.0628,0.0644,0.52
-6.799,0.361,0.0444,0.0833,0.904
-10.94,0.161,0.0444,0.0475,0.801
-4.683,0.332,0.115,0.0416,0.891
-5.16,0.263,0.0594,0.118,0.184
-2.896,0.0448,0.0724,0.801,0.79
-4.49,0.0316,0.00115,0.149,0.309
-2.221,0.0929,0.35,0.0234,0.904
-5.695,0.113,0.176,0.0867,0.507
