artist,year
Rizzle Kicks,2011
Lady Gaga,2011
Nicki Minaj,2010
Mac Miller,2011
Calvin Harris,2012
David Guetta,2012
Foster The People,2011
Drake,2011
Jessie J,2011
Jason Aldean,2010
Wiz Khalifa,2011
OneRepublic,2009
Bad Meets Evil,2011
Bruno Mars,2010
Lupe Fiasco,2011
James Morrison,2011
Jason Derulo,2011
Adele,2011
Red Hot Chili Peppers,2011
Keri Hilson,2010
P!nk,2010
Blake Shelton,2011
Lady Gaga,2011
Lady A,2011
Hot Chelle Rae,2011
Grouplove,2011
Coldplay,2011
Beyoncé,2011
P!nk,2010
Christina Perri,2011
Bruno Mars,2010
The Band Perry,2010
Lil Wayne,2011
Charlene Soraia,2011
Christina Perri,2011
Rihanna,2011
Carly Rae Jepsen,2012
fun.,2012
Sean Paul,2012
Pitbull,2011
DEV,2012
Adele,2012
David Guetta,2012
Rihanna,2011
JAY-Z,2011
Maroon 5,2012
Skrillex,2011
The Wanted,2012
Flo Rida,2012
will.i.am,2013
David Guetta,2012
Nicki Minaj,2012
Kendrick Lamar,2012
MARINA,2012
Kanye West,2012
DJ Fresh,2012
LMFAO,2011
PSY,2012
Kesha,2012
Usher,2012
Olly Murs,2012
Linkin Park,2012
Bruno Mars,2012
Avicii,2011
Flo Rida,2012
Rihanna,2012
Wiz Khalifa,2012
Katy Perry,2012
Nicki Minaj,2012
Kendrick Lamar,2012
Asaf Avidan & the Mojos,2012
Florence + The Machine,2011
Azealia Banks,2014
Maroon 5,2012
James Arthur,2013
Michel Teló,2012
Otto Knows,2012
Icona Pop,2012
Tyga,2012
Calvin Harris,2012
Jennifer Lopez,2012
Grimes,2012
Adele,2011
Coldplay,2011
Chris Brown,2012
Frank Ocean,2012
Calvin Harris,2012
The Script,2012
Swedish House Mafia,2012
MARINA,2012
Justin Bieber,2012
David Guetta,2012
Jessie J,2011
Taylor Swift,2012
ScHoolboy Q,2012
P!nk,2012
Robbie Williams,2012
Snoop Dogg,2011
Justin Bieber,2012
Rita Ora,2012
Alex Clare,2011
Tyga,2012
Alesso,2012
Guy Sebastian,2012
Katy Perry,2012
Avicii,2012
Gotye,2011
Flo Rida,2012
One Direction,2012
Lana Del Rey,2012
Kesha,2012
Owl City,2012
Calvin Harris,2012
Emeli Sandé,2012
Ellie Goulding,2010
Train,2012
Disclosure,2013
Coldplay,2011
One Direction,2012
Gym Class Heroes,2011
Carrie Underwood,2012
alt-J,2012
Chris Brown,2012
Kelly Clarkson,2011
Drake,2011
Katy Perry,2012
Rita Ora,2012
Rudimental,2013
Lana Del Rey,2012
Ne-Yo,2012
Demi Lovato,2011
Drake,2011
Little Mix,2012
Bruno Mars,2011
Cher Lloyd,2011
Lorde,2013
Robin Thicke,2013
Imagine Dragons,2012
Avicii,2013
Bruno Mars,2012
Macklemore & Ryan Lewis,2012
Daft Punk,2013
will.i.am,2013
Stromae,2013
Bingo Players,2013
Naughty Boy,2013
Tom Odell,2013
2 Chainz,2013
David Guetta,2012
Pitbull,2012
will.i.am,2013
Lil Wayne,2013
Macklemore & Ryan Lewis,2012
Martin Garrix,2013
Jason Derulo,2013
John Newman,2013
Britney Spears,2013
The Neighbourhood,2013
Sebastian Ingrosso,2013
Capital Cities,2013
Demi Lovato,2013
Arctic Monkeys,2013
